No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
312	33613428	33499161	0	0	1	0	"network outputs. These two passes will be gone through iteratively until the network converges. The detailed information about network training by back-propagation can be found in related references =-=[18,32]-=-. 3. Proposed methodology 3.1. Latent semantic indexing In machine learning, the number of necessary sample points grows exponentially with the dimension of the feature space. This problem has been kn"
							
313	130314260	148156492	0	0	0	1	"ociated with peripheral neuropathy, with functional, morphological, and metabolic changes in peripheral nerves (1). Dysfunction of the baroreflex has been well described not only in diabetic patients =-=(2,3)-=- and chronic models of diabetes (4-6), but also in short-term (5 days) experimental diabetes (7). Even though modest elevations of plasma glucose are associated with reduction of reflex control of hea"
							
315	61818103	62627734	0	0	0	1	"pm) but were still greater than those occurring in the enriched populations. These data are consistent with reports describing the potent effects of TNF on GM-CSF-induced CD34 stem cell proliferation =-=[17, 18]-=-. Proliferative events in the CD34 population were low and most likely represent the few residual stem cells not captured by the positive selection protocol. DISCUSSION In this study, early stem cells"
							
317	49431069	49613761	0	0	1	0	"ense, because the jammer can also change the jamming channel continuously and then it enlarges the channel switching overhead on nodes. As one of the evasion methods on network layer, spatial retreat =-=[24]-=- is limited to mobile environments. As an evasive method used after detecting jamming, JAM (Jammed Area Mapping) simply focused on a mapping service for the jamming area [8]. JAM uses a priority messa"
							
319	54211922	54722602	0	0	0	1	"tes (manuscripts under review or in press) and three emergent pathogens [14,21,22]. Coupled with the literature that multiple simultaneous HAdV coinfections have been reported as inseparable mixtures =-=[23]-=- and documented using molecular typing methods [24-27], concerns of possible genome transfer between the coninfectants, perhaps resulting in new strains and serotypes [23], are raised. These new strai"
							
321	162351626	182559000	0	0	0	1	"patients with mild cognitive function that progress intosAD showed as an early event an increased TNF-? levelsin cerebrospinal fluid, and this rise correlates well withsthe progression of the disease =-=[41,42]-=-. Others reportedsthat in rodent models of chronic neuroinflammation thesexpression of genes associated with learning and mem-sory has been altered by LPS administration [16]. In lineswith this, LPS i"
							
324	30235897	29559838	0	0	1	0	"Z) there are few tools for working with them. Two tools that work equally well with both congruence and noncongruence groups are the method of coset permutation representations of Margaret Millington =-=[21]-=-, and the method of Farey symbols introduced by Ravi Kulkarni [12]. In this chapter we will primarily discuss Farey symbols and various algorithms for computing with them. We will discuss Millington"
							
325	1677704	1587138	0	0	0	1	"assessing the benefit of co-allocation in more general GRID environments. 2 The Model In this section we describe our model of multicluster systems based on the DAS system. 2.1 The DAS System The DAS =-=[2, 10]-=- is a wide-area computer system consisting of four clusters of identical Pentium Pro processors, one with 128, the other three with 24 processors each. The clusters are interconnected by ATM links for"
							
326	222157	209984	0	0	1	0	"used for systematic landscape restoration. Several other methods that do not guarantee an optimal solution [Underhill, 1994] have been used in systematic reserve design including scoring approaches [=-=Pressey and Nicholls, 1989-=-a], heuristic algorithms [Pressey and Nicholls, 1989b; Csuti et al., 1997], and simulated annealing [Possingham, et al. 2000]. Optimality is not everything in reserve design of course [Csuti et al., 1"
							
328	157106661	176620415	0	0	0	1	"ly, neurogenesis in the SGZ and the SVZ are regulated by different mechanisms [51], and regulation of neurogenesis in some photoperiodic rodents is mechanistically different between SD and LD animals =-=[15,17]-=-. In common with Syrian hamsters [15], SD white-footed mice in the current study displayed increased neurogenesis in the olfactory bulb (Figure 3H). In contrast, photoperiod does not affect SGZ neurog"
							
330	16308477	15218815	0	1	0	0	"is strong evidence that any complete planner (one that is guaranteed to find a solution or determine that none exists) requires time exponential in the number of degrees of freedom (dof) of the robot =-=[22]-=-. Recently, some promising randomized methods have been proposed (see, e.g., [4, 16]). Nonetheless, despite the great amount of effort spent on motion planning [17], there exist many important applica"
							
333	82520650	85587232	0	0	0	1	"However, if tornado likelihood is to be forecast many hours prior to tornado occurrence, environmental conditions from numerical model forecasts will be required instead (e.g., Reap and Foster 1979; =-=Stensrud et al. 1997-=-). To this end, we have collected half a year"
							
334	27103455	26395744	1	0	0	0	"em. The largest two computational expenses arise from the distance computation and the test whether qnew lies in B. Efficient algorithms exist for both of these problems. Hierarchical representations =-=[23]-=- and Voronoi structure [16, 17, 22] can be exploited to efficiently compute distance. The test whether qnew lies in B can be considered as a point location problem, for which very efficient algorithms"
							
335	81455397	84316604	0	0	0	1	"chanistic approaches as the transportresistance mechanistic models. Moreover, it seems quite efficient, for a given site and one year (see Part II). However, if one want to take into account the age (=-=Magnani et al., 2000-=-) and fertility (McMurtrie, 1985) effects on the allocation processes, the allocation coefficients may be calculated by adding empirical or functional constraints on the sinks (e.g. fine roots to leaf"
							
336	89266087	93947030	1	0	0	0	"analysis of our own corpus: we have kept words appearing often and attribute manually an opinion class; we have added an English words set already classified by Stone et al. [98] and Kelly and Stone =-=[99]-=-. To analyze textual comments, we use a NLP tool named TiLT. TiLT (Traitements Linguistiques de Textes) is a text analyzer developed within France Telecom R&D in the framework of NLP research. Textual"
							
337	19137549	17952162	0	0	0	1	"ing goes wrong, e.g., if the other party stops before the exchange of commitments is complete (a similar property is called viability in [6]). Optimism is a popular feature of fair exchange protocols =-=[27,3,4]-=-. In cases where both signers are honest, it enables contract signing to proceed without participation of a third party, and thus avoids communication bottlenecks inherent in protocols that involve a "
							
338	111290050	123406019	0	0	0	1	"DNA per ml. Then randomly primed probe was added, and the mixture was hybridized overnight at 658C. The probe was the 390-bp PCR product labeled with [a-32P]dGTP by the random hexamer priming method =-=(10)-=-. The filters were washed with 23 SSC and then with 0.13 SSC containing 0.1% SDS at 658C for 1.0 h each. Sequencing. The sequence of the Sp-dbr11 gene and flanking DNA was determined by a recently dev"
							
339	34405079	34464423	0	0	0	1	"cifying the application of a clause after performing a certain action (denoted as [?]C, where ? is a compound action and C is a general contract clause), like in propositional dynamic logic. Refer to =-=[15]-=- for a general description of deontic logic. In [14] Marjanovic and Milosevic also defend a deontic approach for formal modeling of e-contracts, paying special attention to the modeling of time aspect"
